03-13 17:26:52.834   27885-27885   C03900/org.ope...vgaplayer/Ace  org.opens...gaplayer  I     [(100000:100000:scope)] ArkUi flush first frame messages.
03-13 17:26:52.835   27885-27885   C0391C/org.ope...ayer/AceFocus  org.opens...gaplayer  I     [(100000:100000:scope)] Request focus on focus view: page/2.
03-13 17:26:52.835   27885-27885   C0391C/org.ope...ayer/AceFocus  org.opens...gaplayer  I     [(100000:100000:scope)] Focus view has no default focus.
03-13 17:26:52.835   27885-27885   C0391C/org.ope...ayer/AceFocus  org.opens...gaplayer  I     [(100000:100000:scope)] Request focus on view root scope: Column/5 return: 1.
03-13 17:26:52.835   27885-27885   C0391C/org.ope...ayer/AceFocus  org.opens...gaplayer  I     [(100000:100000:scope)] WinFocusMove end, root/secure_field onBlur, Column/secure_field onFocus, start: 2, end: 1, update: 2
03-13 17:26:52.835   27885-27885   C03933/org.ope...r/AceKeyboard  org.opens...gaplayer  I     [(100000:100000:scope)] current focus node info : (Column/5).
03-13 17:26:52.835   27885-27885   C03933/org.ope...r/AceKeyboard  org.opens...gaplayer  I     [(100000:100000:scope)] Normal Window focus first, set focus flag to window.
03-13 17:26:52.835   27885-27885   C03933/org.ope...r/AceKeyboard  org.opens...gaplayer  I     [(100000:100000:scope)] Trigger Window Focus Callback
03-13 17:26:52.835   27885-27885   C03933/org.ope...r/AceKeyboard  org.opens...gaplayer  I     [(100000:100000:scope)] need keyboard : 0.
03-13 17:26:52.835   27885-27885   C0420B/org.ope...r/WMSKeyboard  org.opens...gaplayer  I     [] operator()(3031): isNeedKeyboard: 0, keepKeyboardFlag: 0
03-13 17:26:52.835   27885-27885   C0420B/org.ope...r/WMSKeyboard  org.opens...gaplayer  I     [] RequestInputMethodCloseKeyboard(2999): Notify InputMethod framework close keyboard start.
03-13 17:26:52.835   27885-27885   C01C10/org.ope...layer/ImsaKit  org.opens...gaplayer  I     line: 147, function: GetSystemAbilityProxy,get input method service proxy.
03-13 17:26:52.836   27885-27885   C0420B/org.ope...r/WMSKeyboard  org.opens...gaplayer  I     [] RequestInputMethodCloseKeyboard(3002): Notify InputMethod framework close keyboard end.
03-13 17:26:52.836   27885-27885   C03903/org.open...AceSubWindow  org.opens...gaplayer  I     [(100000:100000:scope)] hide menu ng enter
